SIGHTINGDATE,Presence,LAT,LON,SOURCE
2019-12-31,1,42.4369383,-70.54587,Acoustic
2020-01-26,1,42.4369383,-70.54587,Acoustic
2020-01-29,1,42.4369383,-70.54587,Acoustic
2019-08-01,1,42.2554283,-70.179015,Acoustic
2020-01-31,1,42.255235,-70.1796283,Acoustic
2020-02-01,1,42.255235,-70.1796283,Acoustic
2020-02-02,1,42.255235,-70.1796283,Acoustic
2020-02-03,1,42.255235,-70.1796283,Acoustic
2020-02-04,1,42.255235,-70.1796283,Acoustic
2020-02-05,1,42.255235,-70.1796283,Acoustic
2020-02-06,1,42.255235,-70.1796283,Acoustic
2020-02-07,1,42.255235,-70.1796283,Acoustic
2020-02-08,1,42.255235,-70.1796283,Acoustic
2020-02-09,1,42.255235,-70.1796283,Acoustic
2020-02-10,1,42.255235,-70.1796283,Acoustic
2020-02-11,1,42.255235,-70.1796283,Acoustic
2020-02-12,1,42.255235,-70.1796283,Acoustic
2020-02-13,1,42.255235,-70.1796283,Acoustic
2020-02-14,1,42.255235,-70.1796283,Acoustic
2020-02-15,1,42.255235,-70.1796283,Acoustic
2020-02-16,1,42.255235,-70.1796283,Acoustic
2020-02-17,1,42.255235,-70.1796283,Acoustic
2020-02-19,1,42.255235,-70.1796283,Acoustic
2020-02-24,1,42.255235,-70.1796283,Acoustic
2020-02-27,1,42.255235,-70.1796283,Acoustic
2020-02-28,1,42.255235,-70.1796283,Acoustic
2020-03-01,1,42.255235,-70.1796283,Acoustic
2020-03-02,1,42.255235,-70.1796283,Acoustic
2020-03-03,1,42.255235,-70.1796283,Acoustic
2020-03-04,1,42.255235,-70.1796283,Acoustic
2020-03-05,1,42.255235,-70.1796283,Acoustic
2020-03-06,1,42.255235,-70.1796283,Acoustic
2020-03-07,1,42.255235,-70.1796283,Acoustic
2020-03-08,1,42.255235,-70.1796283,Acoustic
2020-03-09,1,42.255235,-70.1796283,Acoustic
2020-03-10,1,42.255235,-70.1796283,Acoustic
2020-03-11,1,42.255235,-70.1796283,Acoustic
2020-03-12,1,42.255235,-70.1796283,Acoustic
2020-03-13,1,42.255235,-70.1796283,Acoustic
2020-03-14,1,42.255235,-70.1796283,Acoustic
2020-03-15,1,42.255235,-70.1796283,Acoustic
2020-03-16,1,42.255235,-70.1796283,Acoustic
2020-03-17,1,42.255235,-70.1796283,Acoustic
2020-03-18,1,42.255235,-70.1796283,Acoustic
2020-03-19,1,42.255235,-70.1796283,Acoustic
2020-03-20,1,42.255235,-70.1796283,Acoustic
2020-03-21,1,42.255235,-70.1796283,Acoustic
2020-03-22,1,42.255235,-70.1796283,Acoustic
2020-03-23,1,42.255235,-70.1796283,Acoustic
2020-03-25,1,42.255235,-70.1796283,Acoustic
2020-03-27,1,42.255235,-70.1796283,Acoustic
2020-03-28,1,42.255235,-70.1796283,Acoustic
