SIGHTINGDATE,LAT,LON,Presence,SOURCE,SOURCE_DETAIL,PACKAGE_ID,Season,SST_Celsius,Frontal_Value,Chlorophyll_mg_m3,Salinity_PSU,Water_Mass_M_WK,SST_env_source,Chlorophyll_env_source,Frontal_env_source,Salinity_env_source,SST_is_observed,Frontal_is_observed,Chlorophyll_is_observed,Salinity_is_observed,Water_Mass_is_observed,Any_env_missing
2002-02-06,41.93,-70.52,1,Visual,RWSAS sightings,,Winter,,,,,,,,,,0,0,0,0,0,1
2002-02-07,41.88,-70.28,1,Visual,RWSAS sightings,,Winter,,,,,,,,,,0,0,0,0,0,1
2002-02-07,42.15,-70.33,1,Visual,RWSAS sightings,,Winter,,,,,,,,,,0,0,0,0,0,1
2002-02-07,42.2,-70.2,1,Visual,RWSAS sightings,,Winter,,,,,,,,,,0,0,0,0,0,1
2002-02-07,42.24,-70.2,1,Visual,RWSAS sightings,,Winter,,,,,,,,,,0,0,0,0,0,1
2002-02-14,41.84,-70.24,1,Visual,RWSAS sightings,,Winter,,,,,,,,,,0,0,0,0,0,1
2002-02-17,41.93,-70.13,1,Visual,RWSAS sightings,,Winter,,,,,,,,,,0,0,0,0,0,1
2002-02-22,41.93,-70.26,1,Visual,RWSAS sightings,,Winter,,,,,,,,,,0,0,0,0,0,1
2002-02-23,41.93,-70.14,1,Visual,RWSAS sightings,,Winter,,,,,,,,,,0,0,0,0,0,1
2002-02-25,41.79,-70.2,1,Visual,RWSAS sightings,,Winter,,,,,,,,,,0,0,0,0,0,1
2002-02-26,41.89,-70.31,1,Visual,RWSAS sightings,,Winter,,,,,,,,,,0,0,0,0,0,1
2002-03-01,41.87,-70.14,1,Visual,RWSAS sightings,,Spring,,,,,,,,,,0,0,0,0,0,1
2002-03-01,42.12,-70.51,1,Visual,RWSAS sightings,,Spring,,,,,,,,,,0,0,0,0,0,1
2002-03-02,41.84,-70.35,1,Visual,RWSAS sightings,,Spring,,,,,,,,,,0,0,0,0,0,1
2002-03-02,41.88,-70.17,1,Visual,RWSAS sightings,,Spring,,,,,,,,,,0,0,0,0,0,1
2002-03-02,41.89,-70.13,1,Visual,RWSAS sightings,,Spring,,,,,,,,,,0,0,0,0,0,1
2002-03-05,41.98,-70.12,1,Visual,RWSAS sightings,,Spring,,,,,,,,,,0,0,0,0,0,1
2002-03-07,41.91,-70.2,1,Visual,RWSAS sightings,,Spring,,,,,,,,,,0,0,0,0,0,1
2002-03-15,41.79,-70.17,1,Visual,RWSAS sightings,,Spring,,,,,,,,,,0,0,0,0,0,1
2002-03-15,41.84,-70.21,1,Visual,RWSAS sightings,,Spring,,,,,,,,,,0,0,0,0,0,1
2002-03-21,38.62,-75.02,1,Visual,RWSAS sightings,,Spring,,,,,,,,,,0,0,0,0,0,1
2002-03-25,42.05,-70.04,1,Visual,RWSAS sightings,,Spring,,,,,,,,,,0,0,0,0,0,1
2002-03-28,40.18,-73.7,1,Visual,RWSAS sightings,,Spring,,,,,,,,,,0,0,0,0,0,1
2002-03-28,42.47,-70.27,1,Visual,RWSAS sightings,,Spring,,,,,,,,,,0,0,0,0,0,1
2002-03-29,42.12,-70.1,1,Visual,RWSAS sightings,,Spring,,,,,,,,,,0,0,0,0,0,1
2002-03-29,42.38,-70.45,1,Visual,RWSAS sightings,,Spring,,,,,,,,,,0,0,0,0,0,1
2002-03-31,42.17,-70.28,1,Visual,RWSAS sightings,,Spring,,,,,,,,,,0,0,0,0,0,1
2002-03-31,42.18,-70.35,1,Visual,RWSAS sightings,,Spring,,,,,,,,,,0,0,0,0,0,1
2002-03-31,42.33,-69.95,1,Visual,RWSAS sightings,,Spring,,,,,,,,,,0,0,0,0,0,1
2002-04-02,42.09,-69.64,1,Visual,RWSAS sightings,,Spring,,,,,,,,,,0,0,0,0,0,1
2002-04-02,42.14,-70.33,1,Visual,RWSAS sightings,,Spring,,,,,,,,,,0,0,0,0,0,1
2002-04-02,42.16,-70.16,1,Visual,RWSAS sightings,,Spring,,,,,,,,,,0,0,0,0,0,1
