SIGHTINGDATE,LAT,LON,Presence,Season,SOURCE,SOURCE_DETAIL,PACKAGE_ID,SST_Celsius,Frontal_Value,Chlorophyll_mg_m3,Salinity_PSU,Water_Mass_M_WK,SST_is_observed,Frontal_is_observed,Chlorophyll_is_observed,Salinity_is_observed,Water_Mass_is_observed,Any_env_missing,Year,Month,DayOfYear,Month_sin,Month_cos
2019-01-30,42.4708417,-70.24281,1,Winter,Acoustic,SanctSound/NOAA daily product,sanctsound_sb02_02_northatlanticrightwhale_1d,5.180399555555556,0.0,0.7474970653333336,32.7939605,248.0,1,1,1,1,1,0,2019,1,30,0.4999999999999999,0.8660254037844387
2019-07-08,31.396417,-80.8904,0,Summer,Acoustic,SanctSound/NOAA daily product,sanctsound_gr01_02_northatlanticrightwhale_1d,29.15800525,0.0,0.5208891653333334,35.67277,45.0,1,1,1,1,1,0,2019,7,189,-0.4999999999999998,-0.8660254037844388
2020-01-04,42.4709883,-70.2423467,1,Winter,Acoustic,SanctSound/NOAA daily product,sanctsound_sb02_07_northatlanticrightwhale_1d,7.485999188888889,0.0611486614814814,0.1430489125,34.648551499999996,77.58620689655173,1,1,1,0,1,1,2020,1,4,0.4999999999999999,0.8660254037844387
2020-08-01,42.437455,-70.545987,0,Summer,Acoustic,SanctSound/NOAA daily product,sanctsound_sb01_10_northatlanticrightwhale_1d,23.35349177777778,0.74987068,1.17022071,34.648551499999996,44.46666666666667,1,1,1,0,1,1,2020,8,214,-0.8660254037844384,-0.5000000000000004
2019-08-19,42.2555167,-70.179065,1,Summer,Acoustic,SanctSound/NOAA daily product,sanctsound_sb03_05_northatlanticrightwhale_1d,20.694196777777776,0.0158496212,0.9521170762857144,31.885988,71.96428571428571,1,1,1,1,1,0,2019,8,231,-0.8660254037844384,-0.5000000000000004
2019-04-29,42.2554067,-70.17901,1,Spring,Acoustic,SanctSound/NOAA daily product,sanctsound_sb03_03_northatlanticrightwhale_1d,6.588277199999999,0.1675582699999999,0.57260741,34.648551499999996,140.04761904761904,1,1,1,0,1,1,2019,4,119,0.8660254037844387,-0.4999999999999998
2019-07-01,31.376133,-80.839133,0,Summer,Acoustic,SanctSound/NOAA daily product,sanctsound_gr02_02_northatlanticrightwhale_1d,28.93446188888889,4.347246,0.6230215263333333,36.548871,146.0,1,1,1,1,1,0,2019,7,182,-0.4999999999999998,-0.8660254037844388
2019-02-26,24.45895,-81.774133,0,Winter,Acoustic,SanctSound/NOAA daily product,sanctsound_fk03_01_northatlanticrightwhale_1d,25.930430111111107,5.517085693333334,0.1923288033333333,34.648551499999996,331.73333333333335,1,1,1,0,1,1,2019,2,57,0.8660254037844386,0.5000000000000001
2020-05-09,42.470708,-70.242457,0,Spring,Acoustic,SanctSound/NOAA daily product,sanctsound_sb02_09_northatlanticrightwhale_1d,7.965464244444444,0.16494846125,0.6235134846875,31.499985,188.375,1,1,1,1,1,0,2020,5,130,0.4999999999999999,-0.8660254037844387
2020-02-13,42.470965,-70.2426433,1,Winter,Acoustic,SanctSound/NOAA daily product,sanctsound_sb02_08_northatlanticrightwhale_1d,6.13700865,0.3389318488571428,1.4347188071875,34.992151,387.74285714285713,1,1,1,1,1,0,2020,2,44,0.8660254037844386,0.5000000000000001
2019-05-05,42.2554067,-70.17901,1,Spring,Acoustic,SanctSound/NOAA daily product,sanctsound_sb03_03_northatlanticrightwhale_1d,7.339579255555557,0.0,1.12289933,34.648551499999996,248.0,1,1,1,0,1,1,2019,5,125,0.4999999999999999,-0.8660254037844387
2020-04-05,42.255235,-70.1796283,1,Spring,Acoustic,SanctSound/NOAA daily product,sanctsound_sb03_08_northatlanticrightwhale_1d,6.0466359333333335,0.0,1.12309366,36.3233175,51.0,1,1,1,1,1,0,2020,4,96,0.8660254037844387,-0.4999999999999998
2020-07-09,42.254985,-70.179125,1,Summer,Acoustic,SanctSound/NOAA daily product,sanctsound_sb03_10_northatlanticrightwhale_1d,18.275926444444444,0.2247679188888888,0.915859605,32.385414,47.714285714285715,1,1,1,1,1,0,2020,7,191,-0.4999999999999998,-0.8660254037844388
2019-12-20,42.4709883,-70.2423467,1,Winter,Acoustic,SanctSound/NOAA daily product,sanctsound_sb02_07_northatlanticrightwhale_1d,7.7706095333333325,0.0,0.3266183919047619,32.511622,248.0,1,1,1,1,1,0,2019,12,354,-2.4492935982947064e-16,1.0
2019-03-27,42.25539,-70.178843,1,Spring,Acoustic,SanctSound/NOAA daily product,sanctsound_sb03_02_northatlanticrightwhale_1d,3.923580588888888,0.0,0.3774174920000001,34.648551499999996,248.0,1,1,1,0,1,1,2019,3,86,1.0,6.123233995736766e-17
2019-03-29,42.4708417,-70.24281,0,Spring,Acoustic,SanctSound/NOAA daily product,sanctsound_sb02_02_northatlanticrightwhale_1d,4.785780133333334,0.2445388057142857,0.5789869536666665,34.648551499999996,84.8,1,1,1,0,1,1,2019,3,88,1.0,6.123233995736766e-17
