SIGHTINGDATE,LAT,LON,Presence,Season,SOURCE,SOURCE_DETAIL,PACKAGE_ID,SST_Celsius,Frontal_Value,Chlorophyll_mg_m3,Salinity_PSU,Water_Mass_M_WK,SST_is_observed,Frontal_is_observed,Chlorophyll_is_observed,Salinity_is_observed,Water_Mass_is_observed,Any_env_missing,Year,Month,DayOfYear,Month_sin,Month_cos
2018-12-07,42.25541,-70.178607,1,Winter,Acoustic,SanctSound/NOAA daily product,sanctsound_sb03_01_northatlanticrightwhale_1d,7.926160977777777,0.4127774383333333,0.8526834286363637,34.648551499999996,59.0,1,1,1,0,1,1,2018,12,341,-2.4492935982947064e-16,1.0
2020-02-15,42.255235,-70.1796283,1,Winter,Acoustic,SanctSound/NOAA daily product,sanctsound_sb03_08_northatlanticrightwhale_1d,5.223943116666667,0.5755452246666667,0.7721855696666667,32.223072,379.6333333333333,1,1,1,1,1,0,2020,2,46,0.8660254037844386,0.5000000000000001
2020-03-28,42.255235,-70.1796283,1,Spring,Acoustic,SanctSound/NOAA daily product,sanctsound_sb03_08_northatlanticrightwhale_1d,5.9972483,0.0,0.5941897476666665,34.648551499999996,248.0,1,1,1,0,1,1,2020,3,88,1.0,6.123233995736766e-17
2018-11-25,42.470793,-70.24294,0,Fall,Acoustic,SanctSound/NOAA daily product,sanctsound_sb02_01_northatlanticrightwhale_1d,9.322564055555556,0.149704478,0.2254967,34.648551499999996,38.74285714285714,1,1,1,0,1,1,2018,11,329,-0.5000000000000004,0.8660254037844384
2019-03-13,24.43313,-81.93068,0,Spring,Acoustic,SanctSound/NOAA daily product,sanctsound_fk01_01_northatlanticrightwhale_1d,24.978332555555554,2.762089699666667,0.3171321682352941,34.440809333333334,277.76666666666665,1,1,1,1,1,0,2019,3,72,1.0,6.123233995736766e-17
2019-08-08,42.4708733,-70.2423833,0,Summer,Acoustic,SanctSound/NOAA daily product,sanctsound_sb02_05_northatlanticrightwhale_1d,20.49156011111111,0.0,0.7957671000000001,34.648551499999996,69.05714285714286,1,1,1,0,1,1,2019,8,220,-0.8660254037844384,-0.5000000000000004
2020-07-17,42.254985,-70.179125,0,Summer,Acoustic,SanctSound/NOAA daily product,sanctsound_sb03_10_northatlanticrightwhale_1d,19.236751,0.271028028,0.6353826443333334,34.648551499999996,69.3,1,1,1,0,1,1,2020,7,199,-0.4999999999999998,-0.8660254037844388
2020-08-04,42.470772,-70.242258,0,Summer,Acoustic,SanctSound/NOAA daily product,sanctsound_sb02_10_northatlanticrightwhale_1d,23.876885333333338,0.3473174823333333,0.7654114300000001,34.648551499999996,53.06666666666667,1,1,1,0,1,1,2020,8,217,-0.8660254037844384,-0.5000000000000004
2020-04-01,42.255235,-70.1796283,1,Spring,Acoustic,SanctSound/NOAA daily product,sanctsound_sb03_08_northatlanticrightwhale_1d,4.95383705,0.1317520813636363,0.7848302825877193,34.648551499999996,136.13793103448276,1,0,0,1,0,1,2020,4,92,0.8660254037844387,-0.4999999999999998
2020-03-10,42.255235,-70.1796283,1,Spring,Acoustic,SanctSound/NOAA daily product,sanctsound_sb03_08_northatlanticrightwhale_1d,6.206395516666667,0.06330989,1.21896405,34.648551499999996,248.0,1,1,1,0,1,1,2020,3,70,1.0,6.123233995736766e-17
2019-06-06,31.376133,-80.839133,0,Summer,Acoustic,SanctSound/NOAA daily product,sanctsound_gr02_02_northatlanticrightwhale_1d,27.08103755555555,0.0,0.4998689739047618,34.648551499999996,45.0,1,1,1,0,1,1,2019,6,157,1.2246467991473532e-16,-1.0
2020-02-09,42.255235,-70.1796283,1,Winter,Acoustic,SanctSound/NOAA daily product,sanctsound_sb03_08_northatlanticrightwhale_1d,5.8288472166666665,0.5755452246666667,0.3899273,32.329941500000004,379.6333333333333,1,1,1,1,1,0,2020,2,40,0.8660254037844386,0.5000000000000001
2019-08-19,31.376133,-80.839133,0,Summer,Acoustic,SanctSound/NOAA daily product,sanctsound_gr02_02_northatlanticrightwhale_1d,27.696373636363635,0.634539973,0.851180175,32.881478,141.06666666666666,1,1,1,1,1,0,2019,8,231,-0.8660254037844384,-0.5000000000000004
2019-04-21,42.2554067,-70.17901,1,Spring,Acoustic,SanctSound/NOAA daily product,sanctsound_sb03_03_northatlanticrightwhale_1d,5.985582144444445,0.0,0.3464582879999999,34.648551499999996,248.0,1,1,1,0,1,1,2019,4,111,0.8660254037844387,-0.4999999999999998
2020-02-17,42.4369267,-70.5458567,0,Winter,Acoustic,SanctSound/NOAA daily product,sanctsound_sb01_08_northatlanticrightwhale_1d,4.532002711111111,0.2881736203333333,0.911297476,35.0431475,409.96666666666664,1,1,1,1,1,0,2020,2,48,0.8660254037844386,0.5000000000000001
2019-04-10,42.2554067,-70.17901,1,Spring,Acoustic,SanctSound/NOAA daily product,sanctsound_sb03_03_northatlanticrightwhale_1d,4.634780916666667,0.04151565859375,0.14733332,34.648551499999996,406.375,1,1,1,0,1,1,2019,4,100,0.8660254037844387,-0.4999999999999998
2019-01-16,24.4888,-81.666316,0,Winter,Acoustic,SanctSound/NOAA daily product,sanctsound_fk02_01_northatlanticrightwhale_1d,23.7888695,4.68226224,0.1894959735714285,34.648551499999996,372.1333333333333,1,1,1,0,1,1,2019,1,16,0.4999999999999999,0.8660254037844387
2019-09-18,31.376133,-80.839133,0,Fall,Acoustic,SanctSound/NOAA daily product,sanctsound_gr02_02_northatlanticrightwhale_1d,28.420637222222226,0.5145893166666666,1.3110642533333334,35.1467718,97.4,1,1,1,1,1,0,2019,9,261,-1.0,-1.8369701987210294e-16
2019-04-15,24.4888,-81.666316,0,Spring,Acoustic,SanctSound/NOAA daily product,sanctsound_fk02_01_northatlanticrightwhale_1d,26.741126222222224,4.9924878090909095,1.1524976475,34.648551499999996,236.8823529411765,1,1,1,0,1,1,2019,4,105,0.8660254037844387,-0.4999999999999998
2020-01-10,42.4709883,-70.2423467,1,Winter,Acoustic,SanctSound/NOAA daily product,sanctsound_sb02_07_northatlanticrightwhale_1d,6.836524100000001,0.3472179429032259,0.5160560423076924,34.74586,321.21276595744683,1,1,1,1,1,0,2020,1,10,0.4999999999999999,0.8660254037844387
2018-12-22,42.470793,-70.24294,0,Winter,Acoustic,SanctSound/NOAA daily product,sanctsound_sb02_01_northatlanticrightwhale_1d,7.563374877777779,0.0826413733333333,0.6864407183333333,34.648551499999996,140.76,1,1,1,0,1,1,2018,12,356,-2.4492935982947064e-16,1.0
2020-09-15,42.437835,-70.54602,0,Fall,Acoustic,SanctSound/NOAA daily product,sanctsound_sb01_11_northatlanticrightwhale_1d,18.218899222222223,0.1317520813636363,1.8318694190476188,32.617472,256.1666666666667,1,1,1,1,1,0,2020,9,259,-1.0,-1.8369701987210294e-16
2018-11-21,42.25541,-70.178607,0,Fall,Acoustic,SanctSound/NOAA daily product,sanctsound_sb03_01_northatlanticrightwhale_1d,9.389675555555554,0.0,1.1584645233333333,34.648551499999996,51.0,1,1,1,0,1,1,2018,11,325,-0.5000000000000004,0.8660254037844384
2019-07-27,31.376133,-80.839133,0,Summer,Acoustic,SanctSound/NOAA daily product,sanctsound_gr02_02_northatlanticrightwhale_1d,27.439388555555553,0.0,0.607144965,34.648551499999996,45.0,1,1,1,0,1,1,2019,7,208,-0.4999999999999998,-0.8660254037844388
2020-02-28,42.255235,-70.1796283,1,Winter,Acoustic,SanctSound/NOAA daily product,sanctsound_sb03_08_northatlanticrightwhale_1d,5.194417283333333,0.5755452246666667,1.557294416666667,32.9697105,379.6333333333333,1,1,1,1,1,0,2020,2,59,0.8660254037844386,0.5000000000000001
2019-02-15,42.25539,-70.178843,1,Winter,Acoustic,SanctSound/NOAA daily product,sanctsound_sb03_02_northatlanticrightwhale_1d,4.550381133333334,0.0,0.3322728466666666,34.648551499999996,248.0,1,1,1,0,1,1,2019,2,46,0.8660254037844386,0.5000000000000001
