SIGHTINGDATE,LAT,LON,Presence,Season,SOURCE,SOURCE_DETAIL,PACKAGE_ID,SST_Celsius,Frontal_Value,Chlorophyll_mg_m3,Salinity_PSU,Water_Mass_M_WK,SST_is_observed,Frontal_is_observed,Chlorophyll_is_observed,Salinity_is_observed,Water_Mass_is_observed,Any_env_missing,Year,Month,DayOfYear,Month_sin,Month_cos
2019-04-26,42.4713583,-70.2427633,0,Spring,Acoustic,SanctSound/NOAA daily product,sanctsound_sb02_03_northatlanticrightwhale_1d,6.901001022222221,0.0,0.4670734713333333,34.648551499999996,248.0,1,1,1,0,1,1,2019,4,116,0.8660254037844387,-0.4999999999999998
2020-07-31,42.470772,-70.242258,0,Summer,Acoustic,SanctSound/NOAA daily product,sanctsound_sb02_10_northatlanticrightwhale_1d,23.630940666666667,0.0,0.8029841189999999,33.675362,45.0,1,1,1,1,1,0,2020,7,213,-0.4999999999999998,-0.8660254037844388
2019-02-23,31.396417,-80.8904,0,Winter,Acoustic,SanctSound/NOAA daily product,sanctsound_gr01_01_northatlanticrightwhale_1d,16.806792136363637,0.0801769919999999,3.0759089750000004,33.42832,45.0,1,1,1,1,1,0,2019,2,54,0.8660254037844386,0.5000000000000001
2019-11-13,42.25553,-70.1789733,0,Fall,Acoustic,SanctSound/NOAA daily product,sanctsound_sb03_06_northatlanticrightwhale_1d,11.250776884615384,0.254729176,8.333330530000001,34.648551499999996,241.23333333333332,1,1,1,0,1,1,2019,11,317,-0.5000000000000004,0.8660254037844384
2020-03-10,42.255235,-70.1796283,1,Spring,Acoustic,SanctSound/NOAA daily product,sanctsound_sb03_08_northatlanticrightwhale_1d,6.206395516666667,0.06330989,1.21896405,34.648551499999996,248.0,1,1,1,0,1,1,2020,3,70,1.0,6.123233995736766e-17
2020-02-12,42.4369267,-70.5458567,1,Winter,Acoustic,SanctSound/NOAA daily product,sanctsound_sb01_08_northatlanticrightwhale_1d,5.071946866666668,0.2881736203333333,0.719098157173913,34.648551499999996,409.96666666666664,1,1,1,0,1,1,2020,2,43,0.8660254037844386,0.5000000000000001
2019-02-23,24.45895,-81.774133,0,Winter,Acoustic,SanctSound/NOAA daily product,sanctsound_fk03_01_northatlanticrightwhale_1d,25.783386333333336,4.861904653333334,0.4350465593333333,38.199595,331.4,1,1,1,1,1,0,2019,2,54,0.8660254037844386,0.5000000000000001
2019-10-25,42.4369067,-70.5460133,0,Fall,Acoustic,SanctSound/NOAA daily product,sanctsound_sb01_06_northatlanticrightwhale_1d,13.409145833333334,0.1816647626666666,1.6617192866666668,33.97347,241.23333333333332,1,1,1,1,1,0,2019,10,298,-0.8660254037844386,0.5000000000000001
2019-03-15,42.25539,-70.178843,1,Spring,Acoustic,SanctSound/NOAA daily product,sanctsound_sb03_02_northatlanticrightwhale_1d,4.115732811111111,0.0445414466666666,1.5340823275609756,34.648551499999996,248.0,1,1,1,0,1,1,2019,3,74,1.0,6.123233995736766e-17
2019-10-10,42.25553,-70.1789733,0,Fall,Acoustic,SanctSound/NOAA daily product,sanctsound_sb03_06_northatlanticrightwhale_1d,15.51035227777778,0.132183511,1.3510632785714285,34.648551499999996,106.0,1,1,1,0,1,1,2019,10,283,-0.8660254037844386,0.5000000000000001
