SIGHTINGDATE,LAT,LON,Presence,Season,SOURCE,SOURCE_DETAIL,PACKAGE_ID,SST_Celsius,Frontal_Value,Chlorophyll_mg_m3,Salinity_PSU,Water_Mass_M_WK,SST_is_observed,Frontal_is_observed,Chlorophyll_is_observed,Salinity_is_observed,Water_Mass_is_observed,Any_env_missing,Year,Month,DayOfYear,Month_sin,Month_cos
2019-06-12,42.436795,-70.5464317,0,Summer,Acoustic,SanctSound/NOAA daily product,sanctsound_sb01_04_northatlanticrightwhale_1d,14.523427333333334,0.3400029153333334,3.3251522033333334,34.41697,73.13333333333334,1,1,1,0,1,1,2019,6,163,1.2246467991473532e-16,-1.0
2019-02-06,24.43313,-81.93068,0,Winter,Acoustic,SanctSound/NOAA daily product,sanctsound_fk01_01_northatlanticrightwhale_1d,24.29563411111111,7.020400707692307,0.389114269,37.2991775,348.0,1,1,1,1,1,0,2019,2,37,0.8660254037844386,0.5000000000000001
2016-08-13,44.62,-66.46,1,Summer,Visual,RWSAS sightings,,14.133749,0.1134922499999999,1.486575085,34.41697,51.0,1,1,1,0,1,1,2016,8,226,-0.8660254037844384,-0.5000000000000004
2005-02-20,30.13,-81.31,1,Winter,Visual,RWSAS sightings,,13.80972163888889,0.24381038,6.08941135,34.41697,194.77777777777777,1,1,1,0,1,1,2005,2,51,0.8660254037844386,0.5000000000000001
2020-06-09,42.437243,-70.54595,0,Summer,Acoustic,SanctSound/NOAA daily product,sanctsound_sb01_09_northatlanticrightwhale_1d,15.0597805,0.3675761230769231,1.862487285217391,34.301019,211.6086956521739,1,1,1,1,1,0,2020,6,161,1.2246467991473532e-16,-1.0
2018-12-25,24.4888,-81.666316,0,Winter,Acoustic,SanctSound/NOAA daily product,sanctsound_fk02_01_northatlanticrightwhale_1d,24.119422111111113,8.240785089285714,0.564090551,34.41697,314.62068965517244,1,1,1,0,1,1,2018,12,359,-2.4492935982947064e-16,1.0
2014-08-10,44.67,-66.37,1,Summer,Visual,RWSAS sightings,,15.879583333333334,0.28008715,3.1963361738317757,34.41697,71.33333333333333,1,1,1,0,1,1,2014,8,222,-0.8660254037844384,-0.5000000000000004
2005-12-24,30.87,-81.14,1,Winter,Visual,RWSAS sightings,,14.476749783333332,0.3603772993333332,2.99481591,34.41697,44.9,1,1,1,0,1,1,2005,12,358,-2.4492935982947064e-16,1.0
2019-06-30,31.36749,-80.895,0,Summer,Acoustic,SanctSound/NOAA daily product,sanctsound_gr03_02_northatlanticrightwhale_1d,28.874237,0.0,0.7345051093939393,36.84196675,45.0,1,1,1,1,1,0,2019,6,181,1.2246467991473532e-16,-1.0
2012-01-20,31.21,-80.88,1,Winter,Visual,RWSAS sightings,,15.385772694078948,0.0,0.644213524375,37.263299,71.0,1,1,1,1,1,0,2012,1,20,0.4999999999999999,0.8660254037844387
2019-12-21,42.4709883,-70.2423467,0,Winter,Acoustic,SanctSound/NOAA daily product,sanctsound_sb02_07_northatlanticrightwhale_1d,7.800147211111112,0.0,0.3266183919047619,34.88574325,248.0,1,1,1,1,1,0,2019,12,355,-2.4492935982947064e-16,1.0
2007-04-11,41.95,-70.3,1,Spring,Visual,RWSAS sightings,,4.718499936666668,0.0,4.507979843333333,34.41697,248.0,1,1,1,0,1,1,2007,4,101,0.8660254037844387,-0.4999999999999998
2012-03-23,41.11,-71.05,1,Spring,Visual,RWSAS sightings,,11.388999633333333,0.0,0.9606388076666664,32.432972,38.0,1,1,1,1,1,0,2012,3,83,1.0,6.123233995736766e-17
2007-11-18,43.03,-70.22,1,Fall,Visual,RWSAS sightings,,9.226416333333333,0.0,0.914533451,34.41697,248.0,1,1,1,0,1,1,2007,11,322,-0.5000000000000004,0.8660254037844384
2019-02-28,42.43668,-70.546655,0,Winter,Acoustic,SanctSound/NOAA daily product,sanctsound_sb01_02_northatlanticrightwhale_1d,3.3516642111111112,0.3877319010000001,0.3804616462068966,32.457108,139.2,1,1,1,1,1,0,2019,2,59,0.8660254037844386,0.5000000000000001
2020-11-01,42.25508,-70.179047,0,Fall,Acoustic,SanctSound/NOAA daily product,sanctsound_sb03_12_northatlanticrightwhale_1d,12.652984555555555,0.0,0.4741860320000001,30.517382,38.0,1,1,1,1,1,0,2020,11,306,-0.5000000000000004,0.8660254037844384
2007-04-21,41.87,-70.21,1,Spring,Visual,RWSAS sightings,,5.493999923333331,0.6778491126666667,6.860238989999999,34.41697,96.1,1,1,1,0,1,1,2007,4,111,0.8660254037844387,-0.4999999999999998
2018-12-16,42.470793,-70.24294,0,Winter,Acoustic,SanctSound/NOAA daily product,sanctsound_sb02_01_northatlanticrightwhale_1d,8.0632021,0.1116244375,0.8239641875,34.41697,142.95238095238096,1,1,1,0,1,1,2018,12,350,-2.4492935982947064e-16,1.0
2019-10-16,42.4369067,-70.5460133,0,Fall,Acoustic,SanctSound/NOAA daily product,sanctsound_sb01_06_northatlanticrightwhale_1d,13.633114444444445,0.2478518381818182,3.830603166666667,34.41697,48.888888888888886,1,1,1,0,1,1,2019,10,289,-0.8660254037844386,0.5000000000000001
2020-08-22,42.47099,-70.24229,0,Summer,Acoustic,SanctSound/NOAA daily product,sanctsound_sb02_11_northatlanticrightwhale_1d,20.20523422222222,0.140598314,0.6668385616666666,32.580006000000004,70.8,1,1,1,1,1,0,2020,8,235,-0.8660254037844384,-0.5000000000000004
2020-05-19,31.396417,-80.8904,0,Spring,Acoustic,SanctSound/NOAA daily product,sanctsound_gr01_04_northatlanticrightwhale_1d,23.04570511111111,0.0856753836,1.9314127433333332,34.212228249999995,107.08,1,1,1,1,1,0,2020,5,140,0.4999999999999999,-0.8660254037844387
