SIGHTINGDATE,LAT,LON,Presence,SOURCE,SOURCE_DETAIL,PACKAGE_ID,Season,SST_Celsius,Frontal_Value,Chlorophyll_mg_m3,Salinity_PSU,SST_is_observed,Frontal_is_observed,Chlorophyll_is_observed,Salinity_is_observed,Any_env_missing
2002-02-08,39.05,-73.45,0,Visual,RWSAS non-sighting days,,Winter,,,,,0,0,0,0,1
2002-02-09,31.03,-81.21,0,Visual,RWSAS non-sighting days,,Winter,,,,,0,0,0,0,1
2002-02-09,42.92,-70.27,0,Visual,RWSAS non-sighting days,,Winter,,,,,0,0,0,0,1
2002-02-09,44.67,-66.54,0,Visual,RWSAS non-sighting days,,Winter,,,,,0,0,0,0,1
2002-02-10,30.13,-81.34,0,Visual,RWSAS non-sighting days,,Winter,,,,,0,0,0,0,1
2002-02-10,42.05,-70.05,0,Visual,RWSAS non-sighting days,,Winter,,,,,0,0,0,0,1
2002-02-10,43.41,-68.29,0,Visual,RWSAS non-sighting days,,Winter,,,,,0,0,0,0,1
2002-02-11,41.32,-69.12,0,Visual,RWSAS non-sighting days,,Winter,,,,,0,0,0,0,1
2002-02-11,42.03,-70.26,0,Visual,RWSAS non-sighting days,,Winter,,,,,0,0,0,0,1
2002-02-11,42.03,-70.23,0,Visual,RWSAS non-sighting days,,Winter,,,,,0,0,0,0,1
2002-02-11,42.13,-70.38,0,Visual,RWSAS non-sighting days,,Winter,,,,,0,0,0,0,1
2002-02-12,29.31,-81.04,0,Visual,RWSAS non-sighting days,,Winter,,,,,0,0,0,0,1
2002-02-12,30.03,-81.19,0,Visual,RWSAS non-sighting days,,Winter,,,,,0,0,0,0,1
2002-02-12,41.57,-68.62,0,Visual,RWSAS non-sighting days,,Winter,,,,,0,0,0,0,1
2002-02-12,41.99,-69.78,0,Visual,RWSAS non-sighting days,,Winter,,,,,0,0,0,0,1
2002-02-13,30.47,-81.04,0,Visual,RWSAS non-sighting days,,Winter,,,,,0,0,0,0,1
2002-02-13,30.73,-81.26,0,Visual,RWSAS non-sighting days,,Winter,,,,,0,0,0,0,1
2002-02-13,41.19,-69,0,Visual,RWSAS non-sighting days,,Winter,,,,,0,0,0,0,1
2002-02-15,41.91,-70.42,0,Visual,RWSAS non-sighting days,,Winter,,,,,0,0,0,0,1
2002-02-16,30.49,-81.29,0,Visual,RWSAS non-sighting days,,Winter,,,,,0,0,0,0,1
2002-02-16,30.96,-81.21,0,Visual,RWSAS non-sighting days,,Winter,,,,,0,0,0,0,1
2002-02-16,43.06,-70.11,0,Visual,RWSAS non-sighting days,,Winter,,,,,0,0,0,0,1
2002-02-16,43.17,-68.57,0,Visual,RWSAS non-sighting days,,Winter,,,,,0,0,0,0,1
2002-02-18,42.85,-65.7,0,Visual,RWSAS non-sighting days,,Winter,,,,,0,0,0,0,1
2002-02-19,41.85,-70.25,0,Visual,RWSAS non-sighting days,,Winter,,,,,0,0,0,0,1
2002-02-19,42.88,-70,0,Visual,RWSAS non-sighting days,,Winter,,,,,0,0,0,0,1
2002-02-19,48.71,-63.24,0,Visual,RWSAS non-sighting days,,Winter,,,,,0,0,0,0,1
2002-02-20,41.55,-65.97,0,Visual,RWSAS non-sighting days,,Winter,,,,,0,0,0,0,1
2002-02-20,41.82,-69.66,0,Visual,RWSAS non-sighting days,,Winter,,,,,0,0,0,0,1
2002-02-20,44.45,-66.64,0,Visual,RWSAS non-sighting days,,Winter,,,,,0,0,0,0,1
2002-02-21,41.28,-70.48,0,Visual,RWSAS non-sighting days,,Winter,,,,,0,0,0,0,1
2002-02-21,42.2,-67.43,0,Visual,RWSAS non-sighting days,,Winter,,,,,0,0,0,0,1
2002-02-24,30.82,-81.22,0,Visual,RWSAS non-sighting days,,Winter,,,,,0,0,0,0,1
2002-02-24,31.13,-80.95,0,Visual,RWSAS non-sighting days,,Winter,,,,,0,0,0,0,1
2002-02-24,41.39,-70.81,0,Visual,RWSAS non-sighting days,,Winter,,,,,0,0,0,0,1
2002-02-27,41.42,-69.15,0,Visual,RWSAS non-sighting days,,Winter,,,,,0,0,0,0,1
2002-02-27,41.75,-70.22,0,Visual,RWSAS non-sighting days,,Winter,,,,,0,0,0,0,1
2002-02-28,29.87,-81.14,0,Visual,RWSAS non-sighting days,,Winter,,,,,0,0,0,0,1
2002-02-28,30.09,-81.22,0,Visual,RWSAS non-sighting days,,Winter,,,,,0,0,0,0,1
2002-02-28,31.23,-81.13,0,Visual,RWSAS non-sighting days,,Winter,,,,,0,0,0,0,1
2002-02-28,41.4,-69.16,0,Visual,RWSAS non-sighting days,,Winter,,,,,0,0,0,0,1
2002-02-28,41.91,-70.21,0,Visual,RWSAS non-sighting days,,Winter,,,,,0,0,0,0,1
2002-02-28,42.15,-70.46,0,Visual,RWSAS non-sighting days,,Winter,,,,,0,0,0,0,1
2002-02-28,42.21,-69.85,0,Visual,RWSAS non-sighting days,,Winter,,,,,0,0,0,0,1
2002-03-03,30.46,-81.28,0,Visual,RWSAS non-sighting days,,Spring,,,,,0,0,0,0,1
2002-03-03,30.63,-81.19,0,Visual,RWSAS non-sighting days,,Spring,,,,,0,0,0,0,1
2002-03-03,31.53,-80.76,0,Visual,RWSAS non-sighting days,,Spring,,,,,0,0,0,0,1
2002-03-03,41.38,-69.22,0,Visual,RWSAS non-sighting days,,Spring,,,,,0,0,0,0,1
